,JNJ,Date,NVO,WMT,JPM,XOM,UNH,V,TSM,LLY,HSBC,META,TSLA,NVDA,AMZN,GOOGL,GOOG,MSFT,AAPL
96,1.1881081,2018-05-21,0.39999852,0.8406378,1.2744585,0.9243813,2.3470366,1.2922146,0.40483022,1.4288648,0.4821562,1.8220855,0.6840207,0.39102972,1.1133962,0.6739095,0.49204543,1.0139987,0.5077471
97,1.1877651,2018-05-22,0.40012142,0.8405833,1.2745135,0.9219948,2.3463209,1.2920563,0.40504175,1.4334126,0.4818947,1.8220855,0.68295693,0.39097407,1.1142154,0.6700961,0.49083132,1.014378,0.50850016
98,1.1872935,2018-05-23,0.3997725,0.840084,1.2734265,0.9201939,2.3458488,1.2904601,0.4045622,1.4294106,0.4816303,1.8220855,0.6812811,0.39093268,1.1117661,0.6681563,0.46849644,1.0141455,0.5083229
99,1.1865826,2018-05-24,0.3996042,0.83955866,1.2727498,0.9166193,2.3447325,1.290762,0.40461862,1.4219733,0.48115486,1.8220855,0.68006414,0.39099398,1.1131485,0.67150885,0.45885363,1.0143389,0.5081521
100,1.1862655,2018-05-25,0.39938328,0.83930606,1.2721342,0.9121256,2.3441172,1.2886868,0.40429053,1.4198895,0.47987273,1.8220855,0.67933935,0.39112675,1.1104583,0.6692758,0.45315957,1.014371,0.50621253
101,1.1879255,2018-05-29,0.39960098,0.8394695,1.2730503,0.9084402,2.3439033,1.2904642,0.404679,1.4255399,0.48041692,1.8220855,0.6789679,0.39112797,1.1124685,0.6695893,0.46610615,1.0141883,0.5069667
102,1.1878188,2018-05-30,0.39962825,0.83999693,1.2736757,0.90583545,2.3436856,1.291113,0.40473884,1.4272141,0.48127452,1.8220855,0.6778753,0.39101192,1.114128,0.6717232,0.47769022,1.0140195,0.50746894
103,1.1869872,2018-05-31,0.39960116,0.8397991,1.2731277,0.904124,2.3431115,1.2898204,0.40450835,1.4259487,0.48091283,1.8220855,0.6772876,0.39097798,1.1137389,0.6731353,0.47700897,1.0138181,0.50751036
104,1.1877633,2018-06-01,0.39964268,0.839487,1.2729999,0.9008016,2.3420918,1.2909368,0.4049624,1.4277062,0.48143712,1.8220855,0.67706466,0.39091012,1.113421,0.66793555,0.48518178,1.0139116,0.50666404
105,1.1882181,2018-06-04,0.39976653,0.8397441,1.2733322,0.89708424,2.3414161,1.2908683,0.4045139,1.4330814,0.48114082,1.8220855,0.67623556,0.39083728,1.1135973,0.6669344,0.48932543,1.0137103,0.50781584
106,1.1879407,2018-06-05,0.3997405,0.84008354,1.2746645,0.89419067,2.3409133,1.2922068,0.4047498,1.4351214,0.4809502,1.8220855,0.67576456,0.39078078,1.1151055,0.6697662,0.49274284,1.0142325,0.50873595
107,1.1872451,2018-06-06,0.3997749,0.84004515,1.2734447,0.89256966,2.3413289,1.2909654,0.40501243,1.432999,0.4809724,1.8220855,0.67513525,0.39075512,1.1148914,0.6713937,0.4853797,1.0143112,0.5092369
108,1.187799,2018-06-07,0.39965135,0.83982974,1.2728338,0.8914069,2.3411367,1.2903985,0.40482128,1.432862,0.4808329,1.8220855,0.67294,0.3907564,1.1121432,0.6717752,0.47707668,1.0143472,0.50821376
109,1.1868813,2018-06-08,0.39965743,0.839323,1.272676,0.88897824,2.3410268,1.290555,0.40497547,1.4312695,0.48032507,1.8220855,0.6720492,0.39071807,1.1137376,0.66852385,0.48936087,1.0140623,0.5075212
110,1.1876388,2018-06-11,0.399706,0.83951706,1.2734642,0.8857274,2.3403673,1.29148,0.40502357,1.4319386,0.4807703,1.8220855,0.6724003,0.39068767,1.113082,0.6695783,0.48222288,1.0139264,0.5077479
111,1.1870977,2018-06-12,0.39974537,0.8402417,1.2738051,0.88350457,2.3394215,1.2916908,0.40467688,1.4354795,0.47970256,1.8220855,0.6721886,0.3907989,1.1127439,0.6685943,0.4546327,1.0147732,0.5069302
112,1.1862701,2018-06-13,0.39974716,0.8403894,1.2729821,0.88312584,2.3391085,1.2901496,0.40472186,1.4316002,0.48131865,1.8220855,0.6722987,0.3908647,1.109757,0.66596633,0.44899997,1.0139527,0.5053355
113,1.1878484,2018-06-14,0.39978993,0.8404028,1.2734634,0.8807489,2.338076,1.2923824,0.4047999,1.4297036,0.48103935,1.8220855,0.6728004,0.3908632,1.1162163,0.66803205,0.45781633,1.0136602,0.5054697
114,1.187474,2018-06-15,0.39971036,0.8405438,1.2733045,0.8790503,2.3368533,1.2900804,0.4047321,1.4279749,0.48084348,1.8220855,0.67183733,0.39094096,1.1132863,0.66558784,0.43387327,1.0139089,0.5022502
115,1.1854557,2018-06-18,0.3993853,0.84014565,1.2674054,0.8790709,2.3349936,1.2875669,0.404316,1.4190888,0.47860926,1.8220855,0.66678834,0.39100656,1.1097608,0.66127086,0.43842804,1.0141429,0.5009431
116,1.1864167,2018-06-19,0.3996972,0.83978236,1.2683654,0.87642753,2.3366435,1.2866411,0.40373066,1.4107103,0.4777082,1.8220855,0.66196674,0.39103103,1.1055038,0.6628193,0.4328239,1.0133818,0.49935803
117,1.1879967,2018-06-20,0.3999941,0.8403052,1.2735876,0.87419,2.3395019,1.2920808,0.40485123,1.4215938,0.4788308,1.8220855,0.65995777,0.39125928,1.1176797,0.664559,0.43318546,1.0154104,0.5045919
